State,County,Population
Kentucky,Lincoln,24731
Kentucky,Livingston,9531
Kentucky,Logan,26792
Kentucky,Lyon,8317
Kentucky,McCracken,65864
Kentucky,McCreary,18285
Kentucky,McLean,9527
Kentucky,Madison,84188
Kentucky,Magoffin,13216
Kentucky,Marion,19982
Kentucky,Marshall,31308
Kentucky,Martin,12751
Kentucky,Mason,17653
Kentucky,Meade,29562
Kentucky,Menifee,6317
Kentucky,Mercer,21282
Kentucky,Metcalfe,10073
Kentucky,Monroe,10937
Kentucky,Montgomery,26743
Kentucky,Morgan,13943
Kentucky,Muhlenberg,31272
Kentucky,Nelson,43974
Kentucky,Nicholas,7071
Kentucky,Ohio,24103
Kentucky,Oldham,60642
Kentucky,Owen,10858
Kentucky,Owsley,4820
Kentucky,Pendleton,14698
Kentucky,Perry,28751
Kentucky,Pike,64904
Kentucky,Powell,12651
Kentucky,Pulaski,63657
Kentucky,Robertson,2229
Kentucky,Rockcastle,17069
Kentucky,Rowan,23582
Kentucky,Russell,17610
Kentucky,Scott,48149
Kentucky,Shelby,43068
Kentucky,Simpson,17378
Kentucky,Spencer,17378
Kentucky,Taylor,24731
Kentucky,Todd,12463
Kentucky,Trigg,14305
Kentucky,Trimble,8725
Kentucky,Union,15067
Kentucky,Warren,115517
Kentucky,Washington,11846
Kentucky,Wayne,20969
Kentucky,Webster,13668
Kentucky,Whitley,35823
Kentucky,Wolfe,7342
Kentucky,Woodford,24945
Louisiana,,4574836
Louisiana,Acadia,61982
Louisiana,Allen,25757
Louisiana,Ascension,109985
Louisiana,Assumption,23153
Louisiana,Avoyelles,41895
Louisiana,Beauregard,36129
Louisiana,Bienville,14335
Louisiana,Bossier,119732
Louisiana,Caddo,257051
Louisiana,Calcasieu,194092
Louisiana,Caldwell,10057
Louisiana,Cameron,6730
Louisiana,Catahoula,10325
Louisiana,Claiborne,16914
Louisiana,Concordia,20876
Louisiana,De Soto,26812
Louisiana,East Baton Rouge,441438
Louisiana,East Carroll,7630
Louisiana,East Feliciana,20117
Louisiana,Evangeline,33896
Louisiana,Franklin,20785
Louisiana,Grant,22131
Louisiana,Iberia,73400
Louisiana,Iberville,33230
Louisiana,Jackson,16323
Louisiana,Jefferson,432640
Louisiana,Jefferson Davis,31694
Louisiana,Lafayette,224390
Louisiana,Lafourche,96666
Louisiana,La Salle,14985
Louisiana,Lincoln,46856
Louisiana,Livingston,130251
Louisiana,Madison,12004
Louisiana,Morehouse,27608
Louisiana,Natchitoches,39442
Louisiana,Orleans,360740
Louisiana,Ouachita,154919
Louisiana,Plaquemines,23628
Louisiana,Pointe Coupee,22703
Louisiana,Rapides,132374
Louisiana,Red River,8890
Louisiana,Richland,20938
Louisiana,Sabine,24526
Louisiana,St. Bernard,39558
Louisiana,St. Charles,52517
Louisiana,St. Helena,10949
Louisiana,St. James,21784
Louisiana,St. John the Baptist,45221
Louisiana,St. Landry,83552
Louisiana,St. Martin,52917
Louisiana,St. Mary,54210
Louisiana,St. Tammany,236785
Louisiana,Tangipahoa,122571
Louisiana,Tensas,5066
Louisiana,Terrebonne,111917
Louisiana,Union,22732
Louisiana,Vermilion,58276
Louisiana,Vernon,52107
Louisiana,Washington,47139
Louisiana,Webster,41288
Louisiana,West Baton Rouge,24109
Louisiana,West Carroll,11569
Louisiana,West Feliciana,15460
Louisiana,Winn,15080
Maine,,1328188
Maine,Androscoggin,107398
Maine,Aroostook,71482
Maine,Cumberland,282401
Maine,Franklin,30746
Maine,Hancock,54578
Maine,Kennebec,121935
Maine,Knox,39708
Maine,Lincoln,34224
Maine,Oxford,57695
Maine,Penobscot,153786
Maine,Piscataquis,17419
Maine,Sagadahoc,35207
Maine,Somerset,52028
Maine,Waldo,38745
Maine,Washington,32637
Maine,York,198199
Maryland,,5828289
Maryland,Allegany,74692
Maryland,Anne Arundel,544403
Maryland,Baltimore,809941
Maryland,Calvert,89256
Maryland,Caroline,32985
Maryland,Carroll,167288
Maryland,Cecil,101694
Maryland,Charles,149130
Maryland,Dorchester,32640
Maryland,Frederick,236745
Maryland,Garrett,30051
Maryland,Harford,246489
Maryland,Howard,293142
Maryland,Kent,20204
Maryland,Montgomery,989794
Maryland,Prince George's,871233
Maryland,Queen Anne's,48354
Maryland,St. Mary's,107484
Maryland,Somerset,26339
Maryland,Talbot,38025
Maryland,Washington,148203
Maryland,Wicomico,99190
Maryland,Worcester,51514
Maryland,Baltimore City,619493
Massachusetts,,6587536
Massachusetts,Barnstable,215769
Massachusetts,Berkshire,130458
Massachusetts,Bristol,548922
Massachusetts,Dukes,16766
Massachusetts,Essex,748930
Massachusetts,Franklin,71599
Massachusetts,Hampden,463783
Massachusetts,Hampshire,157822
Massachusetts,Middlesex,1518171
Massachusetts,Nantucket,10142
Massachusetts,Norfolk,675436
Massachusetts,Plymouth,497579
Massachusetts,Suffolk,730932
Massachusetts,Worcester,801227
Michigan,,9876187
Michigan,Alcona,10800
Michigan,Alger,9513
Michigan,Allegan,111234
Michigan,Alpena,29386
Michigan,Antrim,23316
Michigan,Arenac,15649
Michigan,Baraga,8808
Michigan,Barry,58820
Michigan,Bay,107110
Michigan,Benzie,17443
Michigan,Berrien,156941
Michigan,Branch,45197
Michigan,Calhoun,135490
Michigan,Cass,51988
Michigan,Charlevoix,25998
Michigan,Cheboygan,25918
Michigan,Chippewa,38797
Michigan,Clare,31033
Michigan,Clinton,75469
Michigan,Crawford,14014
Michigan,Delta,37105
Michigan,Dickinson,26185
Michigan,Eaton,108056
Michigan,Emmet,32848
Michigan,Genesee,422080
Michigan,Gladwin,25851
Michigan,Gogebic,16281
Michigan,Grand Traverse,88349
Michigan,Gratiot,42145
Michigan,Hillsdale,46514
Michigan,Houghton,36638
Michigan,Huron,32675
Michigan,Ingham,281613
Michigan,Ionia,63979
Michigan,Iosco,25541
Michigan,Iron,11796
Michigan,Isabella,70622
Michigan,Jackson,159748
Michigan,Kalamazoo,252074
Michigan,Kalkaska,17160
Michigan,Kent,608453
Michigan,Keweenaw,2173
Michigan,Lake,11539
Michigan,Lapeer,88082
Michigan,Leelanau,21459
Michigan,Lenawee,99440
Michigan,Livingston,181722
Michigan,Luce,6584
Michigan,Mackinac,11037
Michigan,Macomb,842145
Michigan,Manistee,24709
Michigan,Marquette,67694
Michigan,Mason,28678
Michigan,Mecosta,43300
Michigan,Menominee,23930
Michigan,Midland,84063
Michigan,Missaukee,14911
Michigan,Monroe,151560
Michigan,Montcalm,63185
Michigan,Montmorency,9653
Michigan,Muskegon,171302
Michigan,Newaygo,48352
Michigan,Oakland,1210145
Michigan,Oceana,26523
Michigan,Ogemaw,21570
Michigan,Ontonagon,6598
Michigan,Osceola,23510
Michigan,Oscoda,8608
Michigan,Otsego,24078
Michigan,Ottawa,266300
Michigan,Presque Isle,13155
Michigan,Roscommon,24414
Michigan,Saginaw,199088
Michigan,St. Clair,161642
Michigan,St. Joseph,61136
Michigan,Sanilac,42605
Michigan,Schoolcraft,8490
Michigan,Shiawassee,69841
Michigan,Tuscola,55422
Michigan,Van Buren,76131
Michigan,Washtenaw,347962
Michigan,Wayne,1802096
Michigan,Wexford,32718
Minnesota,,5344861
Minnesota,Aitkin,16220
Minnesota,Anoka,333140
Minnesota,Becker,32778
Minnesota,Beltrami,45264
Minnesota,Benton,38671
Minnesota,Big Stone,5238
Minnesota,Blue Earth,64384
Minnesota,Brown,25734
Minnesota,Carlton,35455
Minnesota,Carver,92638
Minnesota,Cass,28390
Minnesota,Chippewa,12319
Minnesota,Chisago,53916
Minnesota,Clay,59803
Minnesota,Clearwater,8774
Minnesota,Cook,5218
Minnesota,Cottonwood,11686
Minnesota,Crow Wing,62763
Minnesota,Dakota,402006
Minnesota,Dodge,20243
Minnesota,Douglas,36172
Minnesota,Faribault,14508
Minnesota,Fillmore,20876
Minnesota,Freeborn,31172
Minnesota,Goodhue,46217
Minnesota,Grant,5989
Minnesota,Hennepin,1168431
Minnesota,Houston,18916
Minnesota,Hubbard,20303
Minnesota,Isanti,38283
Minnesota,Itasca,45034
Minnesota,Jackson,10202
Minnesota,Kanabec,16169
Minnesota,Kandiyohi,42173
Minnesota,Kittson,4515
Minnesota,Koochiching,13213
Minnesota,Lac qui Parle,7193
Minnesota,Lake,10824
Minnesota,Lake of the Woods,4007
Minnesota,Le Sueur,27656
Minnesota,Lincoln,5820
Minnesota,Lyon,25891
Minnesota,McLeod,36432
Minnesota,Mahnomen,5456
Minnesota,Marshall,9481
Minnesota,Martin,20689
Minnesota,Meeker,23265
Minnesota,Mille Lacs,25979
Minnesota,Morrison,33229
Minnesota,Mower,39349
Minnesota,Murray,8630
Minnesota,Nicollet,32820
Minnesota,Nobles,21397
Minnesota,Norman,6869
Minnesota,Olmsted,145769
Minnesota,Otter Tail,57252
Minnesota,Pennington,14072
Minnesota,Pine,29604
Minnesota,Pipestone,9501
Minnesota,Polk,31456
Minnesota,Pope,10894
Minnesota,Ramsey,514696
Minnesota,Red Lake,4105
Minnesota,Redwood,15972
Minnesota,Renville,15500
Minnesota,Rice,64409
Minnesota,Rock,9614
Minnesota,Roseau,15540
Minnesota,St. Louis,200255
Minnesota,Scott,132556
Minnesota,Sherburne,89319
Minnesota,Sibley,15169
Minnesota,Stearns,151343
Minnesota,Steele,36534
Minnesota,Stevens,9685
Minnesota,Swift,9640
Minnesota,Todd,24836
Minnesota,Traverse,3523
Minnesota,Wabasha,21600
Minnesota,Wadena,13749
Minnesota,Waseca,19273
Minnesota,Washington,241280
Minnesota,Watonwan,11201
Minnesota,Wilkin,6592
Minnesota,Winona,51378
Minnesota,Wright,126437
Minnesota,Yellow Medicine,10307
Mississippi,,2978512
Mississippi,Adams,32067
Mississippi,Alcorn,37052
Mississippi,Amite,13064
Mississippi,Attala,19466
Mississippi,Benton,8732
Mississippi,Bolivar,33771
Mississippi,Calhoun,14917
Mississippi,Carroll,10373
Mississippi,Chickasaw,17124
Mississippi,Choctaw,8412
Mississippi,Claiborne,9585
Mississippi,Clarke,16743
Mississippi,Clay,20456
Mississippi,Coahoma,25913
Mississippi,Copiah,29247
Mississippi,Covington,19629
Mississippi,DeSoto,164053
Mississippi,Forrest,75842
Mississippi,Franklin,8017
Mississippi,George,22889
Mississippi,Greene,14338
Mississippi,Grenada,21706
Mississippi,Hancock,44649
Mississippi,Harrison,191040
Mississippi,Hinds,248184
Mississippi,Holmes,18818
Mississippi,Humphreys,9312
Mississippi,Issaquena,1392
Mississippi,Itawamba,23332
Mississippi,Jackson,139901
Mississippi,Jasper,16777
Mississippi,Jefferson,7605
Mississippi,Jefferson Davis,12118
Mississippi,Jones,68075
Mississippi,Kemper,10146
Mississippi,Lafayette,48472
Mississippi,Lamar,57422
Mississippi,Lauderdale,80475
Mississippi,Lawrence,12687
Mississippi,Leake,23572
Mississippi,Lee,84156
Mississippi,Leflore,31861
Mississippi,Lincoln,34889
Mississippi,Lowndes,59671
Mississippi,Madison,96941
Mississippi,Marion,26809
Mississippi,Marshall,36786
Mississippi,Monroe,36626
Mississippi,Montgomery,10872
Mississippi,Neshoba,29818
Mississippi,Newton,21499
Mississippi,Noxubee,11351
Mississippi,Oktibbeha,47741
Mississippi,Panola,34602
Mississippi,Pearl River,55718
Mississippi,Perry,12164
Mississippi,Pike,40406
Mississippi,Pontotoc,29900
Mississippi,Prentiss,25330
Mississippi,Quitman,8134
Mississippi,Rankin,143702
Mississippi,Scott,28388
Mississippi,Sharkey,4892
Mississippi,Simpson,27320
Mississippi,Smith,16442
Mississippi,Stone,17822
Mississippi,Sunflower,29296
Mississippi,Tallahatchie,15318
Mississippi,Tate,28719
Mississippi,Tippah,22143
Mississippi,Tishomingo,19603
Mississippi,Tunica,10628
Mississippi,Union,27340
Mississippi,Walthall,15406
Mississippi,Warren,48346
Mississippi,Washington,50406
Mississippi,Wayne,20589
Mississippi,Webster,10319
Mississippi,Wilkinson,9679
Mississippi,Winston,19069
Mississippi,Yalobusha,12552
Mississippi,Yazoo,27886
Missouri,,6010688
Missouri,Adair,25552
Missouri,Andrew,17196
Missouri,Atchison,5569
Missouri,Audrain,25566
Missouri,Barry,35282
Missouri,Barton,12327
Missouri,Bates,17008
Missouri,Benton,19115
Missouri,Bollinger,12356
Missouri,Boone,165627
Missouri,Buchanan,89666
Missouri,Butler,43082
Missouri,Caldwell,9315
Missouri,Callaway,44420
Missouri,Camden,43679
Missouri,Cape Girardeau,76632
Missouri,Carroll,9260
Missouri,Carter,6365
Missouri,Cass,100052
Missouri,Cedar,13948
Missouri,Chariton,7734
Missouri,Christian,78570
Missouri,Clark,7019
Missouri,Clay,225161
Missouri,Clinton,20789
Missouri,Cole,76448
Missouri,Cooper,17663
Missouri,Crawford,24800
Missouri,Dade,7807
Missouri,Dallas,16749
Missouri,Daviess,8313
Missouri,DeKalb,12767
Missouri,Dent,15676
Missouri,Douglas,13548
Missouri,Dunklin,31974
Missouri,Franklin,101938
Missouri,Gasconade,15168
Missouri,Gentry,6786
Missouri,Greene,277214
Missouri,Grundy,10228
Missouri,Harrison,8866
Missouri,Henry,22219
Missouri,Hickory,9628
Missouri,Holt,4814
Missouri,Howard,10204
Missouri,Howell,40665
Missouri,Iron,10656
Missouri,Jackson,676360
Missouri,Jasper,118435
Missouri,Jefferson,219480
Missouri,Johnson,53439
Missouri,Knox,4126
Missouri,Laclede,35636
Missouri,Lafayette,33209
Missouri,Lawrence,38660
Missouri,Lewis,10155
Missouri,Lincoln,53076
Missouri,Linn,12566
Missouri,Livingston,15074
Missouri,McDonald,22977
Missouri,Macon,15591
Missouri,Madison,12195
Missouri,Maries,9171
Missouri,Marion,28717
Missouri,Mercer,3804
Missouri,Miller,24770
Missouri,Mississippi,14306
Missouri,Moniteau,15697
Missouri,Monroe,8734
Missouri,Montgomery,12270
Missouri,Morgan,20502
Missouri,New Madrid,18783
Missouri,Newton,58414
Missouri,Nodaway,23468
Missouri,Oregon,11017
Missouri,Osage,13915
Missouri,Ozark,9595
Missouri,Pemiscot,18174
Missouri,Perry,19041
Missouri,Pettis,42178
Missouri,Phelps,45020
Missouri,Pike,18572
Missouri,Platte,90903
Missouri,Polk,31170
Missouri,Pulaski,53175
Missouri,Putnam,4978
Missouri,Ralls,10281
Missouri,Randolph,25346
Missouri,Ray,23230
Missouri,Reynolds,6588
Missouri,Ripley,14143
Missouri,St. Charles,365151
Missouri,St. Clair,9641
Missouri,Ste. Genevieve,18124
Missouri,St. Francois,65577
Missouri,St. Louis,998692
Missouri,Saline,23280
Missouri,Schuyler,4381
Missouri,Scotland,4828
Missouri,Scott,39136
Missouri,Shannon,8432
Missouri,Shelby,6280
Missouri,Stoddard,29807
Missouri,Stone,32263
Missouri,Sullivan,6659
Missouri,Taney,52736
Missouri,Texas,25936
Missouri,Vernon,20963
Missouri,Warren,32515
Missouri,Washington,25076
Missouri,Wayne,13475
Missouri,Webster,36439
Missouri,Worth,2150
Missouri,Wright,18716
Missouri,St. Louis City,318069
Montana,,998199
Montana,Beaverhead,9198
Montana,Big Horn,13093
Montana,Blaine,6565
Montana,Broadwater,5752
Montana,Carbon,10028
Montana,Carter,1152
Montana,Cascade,81837
Montana,Chouteau,5793
Montana,Custer,11752
Montana,Daniels,1763
Montana,Dawson,8989
Montana,Deer Lodge,9299
Montana,Fallon,2956
Montana,Fergus,11506
Montana,Flathead,91301
Montana,Gallatin,91377
Montana,Garfield,1251
Montana,Glacier,13624
Montana,Golden Valley,865
Montana,Granite,3068
Montana,Hill,16397
Montana,Jefferson,11381
Montana,Judith Basin,2004
Montana,Lake,28947
Montana,Lewis and Clark,64318
Montana,Liberty,2402
Montana,Lincoln,19566
Montana,McCone,1711
Montana,Madison,7660
Montana,Meagher,1911
Montana,Mineral,4208
Montana,Missoula,110138
Montana,Musselshell,4701
Montana,Park,15469
Montana,Petroleum,491
Montana,Phillips,4250
Montana,Pondera,6257
Montana,Powder River,1738
Montana,Powell,7063
Montana,Prairie,1159
Montana,Ravalli,40450
Montana,Richland,10128
Montana,Roosevelt,10527
Montana,Rosebud,9379
Montana,Sanders,11440
Montana,Sheridan,3460
Montana,Silver Bow,34383
Montana,Stillwater,9131
Montana,Sweet Grass,3623
Montana,Teton,6091
Montana,Toole,5239
Montana,Treasure,727
Montana,Valley,7487
Montana,Wheatland,2140
Montana,Wibaux,985
Montana,Yellowstone,150069
Nebraska,,1842641
Nebraska,Adams,31216
Nebraska,Antelope,6619
Nebraska,Arthur,469
Nebraska,Banner,684
Nebraska,Blaine,473
Nebraska,Boone,5412
Nebraska,Box Butte,11383
Nebraska,Boyd,2082
Nebraska,Brown,3117
Nebraska,Buffalo,46690
Nebraska,Burt,6802
Nebraska,Butler,8287
Nebraska,Cass,25188
Nebraska,Cedar,8730
Nebraska,Chase,4011
Nebraska,Cherry,5761
Nebraska,Cheyenne,9978
Nebraska,Clay,6486
Nebraska,Colfax,10614
Nebraska,Cuming,9181
Nebraska,Custer,10903
Nebraska,Dakota,20913
Nebraska,Dawes,9196
Nebraska,Dawson,24388
Nebraska,Deuel,1984
Nebraska,Dixon,5989
Nebraska,Dodge,36773
Nebraska,Douglas,524861
Nebraska,Dundy,1976
Nebraska,Fillmore,5866
Nebraska,Franklin,3207
Nebraska,Frontier,2723
Nebraska,Furnas,4943
Nebraska,Gage,22031
Nebraska,Garden,2069
Nebraska,Garfield,2032
Nebraska,Gosper,2010
Nebraska,Grant,630
Nebraska,Greeley,2519
Nebraska,Hall,59477
Nebraska,Hamilton,9069
Nebraska,Harlan,3417
Nebraska,Hayes,960
Nebraska,Hitchcock,2857
Nebraska,Holt,10399
Nebraska,Hooker,729
Nebraska,Howard,6342
Nebraska,Jefferson,7519
Nebraska,Johnson,5211
Nebraska,Kearney,6588
Nebraska,Keith,8301
Nebraska,Keya Paha,813
Nebraska,Kimball,3775
Nebraska,Knox,8575
Nebraska,Lancaster,289800
Nebraska,Lincoln,36142
Nebraska,Logan,762
Nebraska,Loup,610
Nebraska,McPherson,552
Nebraska,Madison,34931
Nebraska,Merrick,7732
Nebraska,Morrill,4998
Nebraska,Nance,3740
Nebraska,Nemaha,7280
Nebraska,Nuckolls,4478
Nebraska,Otoe,15798
Nebraska,Pawnee,2735
Nebraska,Perkins,2955
Nebraska,Phelps,9184
Nebraska,Pierce,7216
Nebraska,Platte,32593
Nebraska,Polk,5322
Nebraska,Red Willow,11032
Nebraska,Richardson,8345
Nebraska,Rock,1494
Nebraska,Saline,14345
Nebraska,Sarpy,162561
Nebraska,Saunders,20867
Nebraska,Scotts Bluff,37044
Nebraska,Seward,16703
Nebraska,Sheridan,5392
Nebraska,Sherman,3093
Nebraska,Sioux,1336
Nebraska,Stanton,6155
Nebraska,Thayer,5160
Nebraska,Thomas,716
Nebraska,Thurston,7006
Nebraska,Valley,4218
Nebraska,Washington,20295
Nebraska,Wayne,9504
Nebraska,Webster,3775
Nebraska,Wheeler,818
Nebraska,York,13726
Nevada,,2723322
Nevada,Churchill,24637
Nevada,Clark,1969975
Nevada,Douglas,46886
Nevada,Elko,49491
Nevada,Esmeralda,775
Nevada,Eureka,1979
Nevada,Humboldt,16735
Nevada,Lander,5841
Nevada,Lincoln,5311
Nevada,Lyon,51871
Nevada,Mineral,4593
Nevada,Nye,43351
Nevada,Pershing,6734
Nevada,Storey,3896
Nevada,Washoe,425710
Nevada,White Pine,10098
Nevada,Carson City,55439
New Hampshire,,1318194
New Hampshire,Belknap,60223
New Hampshire,Carroll,47641
New Hampshire,Cheshire,76918
New Hampshire,Coos,32688
New Hampshire,Grafton,88923
New Hampshire,Hillsborough,401696
New Hampshire,Merrimack,146579
New Hampshire,Rockingham,296207
New Hampshire,Strafford,123857
New Hampshire,Sullivan,43462
New Jersey,,8821155
New Jersey,Atlantic,274338
New Jersey,Bergen,911004
New Jersey,Burlington,449576
New Jersey,Camden,513241
New Jersey,Cape May,96601
New Jersey,Cumberland,157095
New Jersey,Essex,785137
New Jersey,Gloucester,289104
New Jersey,Hudson,641224
New Jersey,Hunterdon,128038
New Jersey,Mercer,367063
New Jersey,Middlesex,814217
New Jersey,Monmouth,631020
New Jersey,Morris,494976
New Jersey,Ocean,579369
New Jersey,Passaic,502007
New Jersey,Salem,65902
New Jersey,Somerset,324893
New Jersey,Sussex,148517
New Jersey,Union,539494
New Jersey,Warren,108339
New Mexico,,2082224
New Mexico,Bernalillo,670968
New Mexico,Catron,3733
New Mexico,Chaves,65890
New Mexico,Cibola,27658
New Mexico,Colfax,13640
New Mexico,Curry,49649
New Mexico,De Baca,1945
New Mexico,Dona Ana,213598
New Mexico,Eddy,54152
New Mexico,Grant,29380
New Mexico,Guadalupe,4619
New Mexico,Harding,704
New Mexico,Hidalgo,4861
New Mexico,Lea,65423
New Mexico,Lincoln,20454
New Mexico,Los Alamos,18222
New Mexico,Luna,25281
New Mexico,McKinley,73664
New Mexico,Mora,4773
New Mexico,Otero,65703
New Mexico,Quay,9026
New Mexico,Rio Arriba,40446
New Mexico,Roosevelt,20446
New Mexico,Sandoval,134259
New Mexico,San Juan,128200
New Mexico,San Miguel,29301
New Mexico,Santa Fe,145648
New Mexico,Sierra,11943
New Mexico,Socorro,17873
New Mexico,Taos,32917
New Mexico,Torrance,16345
New Mexico,Union,4433
New Mexico,Valencia,77070
New York,,19465197
New York,Albany,303565
New York,Allegany,48778
New York,Bronx,1392002
New York,Broome,199031
New York,Cattaraugus,79832
New York,Cayuga,79738
New York,Chautauqua,134368
New York,Chemung,88840
New York,Chenango,50118
New York,Clinton,81945
New York,Columbia,62550
New York,Cortland,49363
New York,Delaware,47559
New York,Dutchess,297999
New York,Erie,918028
New York,Essex,39181
New York,Franklin,51551
New York,Fulton,55180
New York,Genesee,59993
New York,Greene,48954
New York,Hamilton,4793
New York,Herkimer,64160
New York,Jefferson,117910
New York,Kings,2532645
New York,Lewis,27072
New York,Livingston,65070
New York,Madison,73365
New York,Monroe,745625
New York,Montgomery,49916
New York,Nassau,1344436
New York,New York,1601948
New York,Niagara,216011
New York,Oneida,234287
New York,Onondaga,466960
New York,Ontario,108525
New York,Orange,374872
New York,Orleans,42622
New York,Oswego,122228
New York,Otsego,61917
New York,Putnam,99933
New York,Queens,2247848
New York,Rensselaer,159395
New York,Richmond,470467
New York,Rockland,315158
New York,St. Lawrence,111690
New York,Saratoga,220882
New York,Schenectady,155058
New York,Schoharie,32578
New York,Schuyler,18361
New York,Seneca,35198
New York,Steuben,99033
New York,Suffolk,1498816
New York,Sullivan,76900
New York,Tioga,51043
New York,Tompkins,101723
New York,Ulster,182448
New York,Warren,65831
New York,Washington,63165
New York,Wayne,93436
New York,Westchester,955899
New York,Wyoming,41944
New York,Yates,25454
North Carolina,,9656401
North Carolina,Alamance,153291
North Carolina,Alexander,37087
North Carolina,Alleghany,11052
North Carolina,Anson,26609
North Carolina,Ashe,27143
North Carolina,Avery,17572
North Carolina,Beaufort,47691
North Carolina,Bertie,20874
North Carolina,Bladen,34928
North Carolina,Brunswick,110097
North Carolina,Buncombe,241419
North Carolina,Burke,90904
North Carolina,Cabarrus,181468
North Carolina,Caldwell,82395
North Carolina,Camden,10014
North Carolina,Carteret,67373
North Carolina,Caswell,23403
North Carolina,Catawba,154181
North Carolina,Chatham,64195
North Carolina,Cherokee,27194
North Carolina,Chowan,14853
North Carolina,Clay,10563
North Carolina,Cleveland,97489
North Carolina,Columbus,57712
North Carolina,Craven,104786
North Carolina,Cumberland,324885
North Carolina,Currituck,23955
North Carolina,Dare,34307
North Carolina,Davidson,162697
North Carolina,Davie,41552
North Carolina,Duplin,59542
North Carolina,Durham,273392
North Carolina,Edgecombe,56041
North Carolina,Forsyth,354952
North Carolina,Franklin,61140
North Carolina,Gaston,207031
North Carolina,Gates,12043
North Carolina,Graham,8802
North Carolina,Granville,59976
North Carolina,Greene,21556
North Carolina,Guilford,495279
North Carolina,Halifax,54173
North Carolina,Harnett,119256
North Carolina,Haywood,58855
North Carolina,Henderson,107927
North Carolina,Hertford,24433
North Carolina,Hoke,49272
North Carolina,Hyde,5822
North Carolina,Iredell,161202
North Carolina,Jackson,40285
North Carolina,Johnston,172595
North Carolina,Jones,10020
North Carolina,Lee,58752
North Carolina,Lenoir,59339
North Carolina,Lincoln,78932
North Carolina,McDowell,45104
North Carolina,Macon,34074
North Carolina,Madison,20816
North Carolina,Martin,24180
North Carolina,Mecklenburg,944373
North Carolina,Mitchell,15445
North Carolina,Montgomery,27667
North Carolina,Moore,89352
North Carolina,Nash,96116
North Carolina,New Hanover,206189
North Carolina,Northampton,21893
North Carolina,Onslow,179719
North Carolina,Orange,135755
North Carolina,Pamlico,13197
North Carolina,Pasquotank,40696
North Carolina,Pender,53399
North Carolina,Perquimans,13487
North Carolina,Person,39637
North Carolina,Pitt,171134
North Carolina,Polk,20256
North Carolina,Randolph,142358
North Carolina,Richmond,46611
North Carolina,Robeson,135517
North Carolina,Rockingham,93329
North Carolina,Rowan,138019
North Carolina,Rutherford,67538
North Carolina,Sampson,63734
North Carolina,Scotland,35861
North Carolina,Stanly,60626
North Carolina,Stokes,47242
North Carolina,Surry,73714
North Carolina,Swain,14043
North Carolina,Transylvania,32820
North Carolina,Tyrrell,4364
North Carolina,Union,205463
North Carolina,Vance,45307
North Carolina,Wake,929780
North Carolina,Warren,20861
North Carolina,Washington,12973
North Carolina,Watauga,51333
North Carolina,Wayne,123697
North Carolina,Wilkes,68984
North Carolina,Wilson,81452
North Carolina,Yadkin,38279
North Carolina,Yancey,17701
North Dakota,,683932
North Dakota,Adams,2307
North Dakota,Barnes,11056
North Dakota,Benson,6723
North Dakota,Billings,816
North Dakota,Bottineau,6443
North Dakota,Bowman,3134
North Dakota,Burke,2033
North Dakota,Burleigh,83145
North Dakota,Cass,152368
North Dakota,Cavalier,3939
North Dakota,Dickey,5317
North Dakota,Divide,2125
North Dakota,Dunn,3720
North Dakota,Eddy,2380
North Dakota,Emmons,3546
North Dakota,Foster,3341
North Dakota,Golden Valley,1752
North Dakota,Grand Forks,66598
North Dakota,Grant,2337
North Dakota,Griggs,2372
North Dakota,Hettinger,2515
North Dakota,Kidder,2414
North Dakota,LaMoure,4105
North Dakota,Logan,1985
North Dakota,McHenry,5505
North Dakota,McIntosh,2769
North Dakota,McKenzie,7019
North Dakota,McLean,9068
North Dakota,Mercer,8449
North Dakota,Morton,27734
North Dakota,Mountrail,8097
North Dakota,Nelson,3057
North Dakota,Oliver,1830
North Dakota,Pembina,7342
North Dakota,Pierce,4375
North Dakota,Ramsey,11452
North Dakota,Ransom,5403
North Dakota,Renville,2490
North Dakota,Richland,16245
North Dakota,Rolette,14206
North Dakota,Sargent,3798
North Dakota,Sheridan,1309
North Dakota,Sioux,4280
North Dakota,Slope,718
North Dakota,Stark,25177
North Dakota,Steele,1950
North Dakota,Stutsman,21062
North Dakota,Towner,2264
North Dakota,Traill,8147
North Dakota,Walsh,11032
North Dakota,Ward,64072
North Dakota,Wells,4237
North Dakota,Williams,24374
Ohio,,11544951
Ohio,Adams,28456
Ohio,Allen,106094
Ohio,Ashland,53153
Ohio,Ashtabula,101345
Ohio,Athens,64769
Ohio,Auglaize,45838
Ohio,Belmont,70151
Ohio,Brown,44687
Ohio,Butler,369999
Ohio,Carroll,28782
Ohio,Champaign,39795
Ohio,Clark,137691
Ohio,Clermont,199139
Ohio,Clinton,41927
Ohio,Columbiana,107570
Ohio,Coshocton,36955
Ohio,Crawford,43389
Ohio,Cuyahoga,1270294
Ohio,Darke,52809
Ohio,Defiance,38884
Ohio,Delaware,178341
Ohio,Erie,76751
Ohio,Fairfield,147066
Ohio,Fayette,28985
Ohio,Franklin,1178799
Ohio,Fulton,42510
Ohio,Gallia,30970
Ohio,Geauga,93228
Ohio,Greene,162846
Ohio,Guernsey,39927
Ohio,Hamilton,800362
Ohio,Hancock,75056
Ohio,Hardin,32020
